IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,AMR,Americas,Country,URY,Uruguay,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,33.84,,,18.73,,51.34,33.8 [18.7-51.3],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,33.8,,,23.61,,45.27,33.8 [23.6-45.3],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,AMR,Americas,Country,COL,Colombia,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,34.43,,,14.82,,57.09,34.4 [14.8-57.1],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,AMR,Americas,Country,PER,Peru,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,34.47,,,22.97,,46.25,34.5 [23.0-46.2],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EUR,Europe,Country,NOR,Norway,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,35.12,,,20.02,,52.54,35.1 [20.0-52.5],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,AMR,Americas,Country,GUY,Guyana,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,35.08,,,23.24,,47.46,35.1 [23.2-47.5],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EUR,Europe,Country,GRC,Greece,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,35.2,,,27.19,,43.68,35.2 [27.2-43.7],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,WPR,Western Pacific,Country,NRU,Nauru,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,35.45,,,23.26,,48.69,35.5 [23.3-48.7],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EUR,Europe,Country,TJK,Tajikistan,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,35.74,,,24,,48.41,35.7 [24.0-48.4],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,AMR,Americas,Country,GRD,Grenada,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,35.87,,,20.73,,52.48,35.9 [20.7-52.5],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,AMR,Americas,Country,PRY,Paraguay,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,35.96,,,17.44,,57.28,36.0 [17.4-57.3],,,EN,2024-06-20T20:00:00.000Z
