Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
IRQ,41_11_13_29_12_7_6_32_35,368,368,Iraq,0,8575,-,-,8575,32.3,20.3,3.6
IRL,41_11_13_29_12_7_6_32_35,372,372,Ireland,0,7191,-,-,7191,76.5,143.2,8.2
ISR,41_11_13_29_12_7_6_32_35,376,376,Israel,0,8424,-,-,8424,67.1,94.4,7.1
ITA,41_11_13_29_12_7_6_32_35,380,380,Italy,0,128443,-,-,128443,77.6,213.1,8.6
CIV,41_11_13_29_12_7_6_32_35,384,384,"Côte d'Ivoire",0,4076,-,-,4076,26.7,14.7,2.9
JAM,41_11_13_29_12_7_6_32_35,388,388,Jamaica,0,1738,-,-,1738,44.8,58.2,5.0
JPN,41_11_13_29_12_7_6_32_35,392,392,Japan,0,436849,-,-,436849,104.9,347.9,11.7
KAZ,41_11_13_29_12_7_6_32_35,398,398,Kazakhstan,0,11811,-,-,11811,52.4,61.5,6.5
JOR,41_11_13_29_12_7_6_32_35,400,400,Jordan,0,3276,-,-,3276,41.6,31.8,4.6
KEN,41_11_13_29_12_7_6_32_35,404,404,Kenya,0,12291,-,-,12291,44.9,21.9,5.1
PRK,41_11_13_29_12_7_6_32_35,408,408,"Korea, Democratic People's Republic of",0,25578,-,-,25578,67.6,98.4,7.8
KOR,41_11_13_29_12_7_6_32_35,410,410,"Korea, Republic of",0,112746,-,-,112746,109.5,219.7,11.9
KWT,41_11_13_29_12_7_6_32_35,414,414,Kuwait,0,1239,-,-,1239,32.2,28.3,3.6
KGZ,41_11_13_29_12_7_6_32_35,417,417,Kyrgyzstan,0,2556,-,-,2556,45.8,38.0,5.5
LAO,41_11_13_29_12_7_6_32_35,418,418,"Lao People's Democratic Republic",0,3673,-,-,3673,64.8,49.1,7.2
LBN,41_11_13_29_12_7_6_32_35,422,422,Lebanon,0,2771,-,-,2771,35.7,41.5,4.0
LSO,41_11_13_29_12_7_6_32_35,426,426,Lesotho,0,334,-,-,334,20.4,15.4,2.1
LVA,41_11_13_29_12_7_6_32_35,428,428,Latvia,0,3349,-,-,3349,77.9,181.1,9.2
LBR,41_11_13_29_12_7_6_32_35,430,430,Liberia,0,936,-,-,936,28.3,17.6,3.2
LBY,41_11_13_29_12_7_6_32_35,434,434,Libya,0,2377,-,-,2377,39.5,33.8,4.1
LTU,41_11_13_29_12_7_6_32_35,440,440,Lithuania,0,4608,-,-,4608,74.9,173.1,8.6
LUX,41_11_13_29_12_7_6_32_35,442,442,Luxembourg,0,742,-,-,742,58.0,115.5,6.0
MDG,41_11_13_29_12_7_6_32_35,450,450,Madagascar,0,4104,-,-,4104,23.6,14.1,2.6
MWI,41_11_13_29_12_7_6_32_35,454,454,Malawi,0,3544,-,-,3544,32.8,17.6,3.6
MYS,41_11_13_29_12_7_6_32_35,458,458,Malaysia,0,15138,-,-,15138,41.5,45.6,4.6
MDV,41_11_13_29_12_7_6_32_35,462,462,Maldives,0,109,-,-,109,25.0,20.2,2.7
MLI,41_11_13_29_12_7_6_32_35,466,466,Mali,0,4259,-,-,4259,41.7,19.8,4.7
MLT,41_11_13_29_12_7_6_32_35,470,470,Malta,0,755,-,-,755,72.3,170.0,7.8
MTQ,41_11_13_29_12_7_6_32_35,474,474,"France, Martinique",0,592,-,-,592,60.4,158.3,6.8
MRT,41_11_13_29_12_7_6_32_35,478,478,Mauritania,0,844,-,-,844,28.1,17.2,3.1
MUS,41_11_13_29_12_7_6_32_35,480,480,Mauritius,0,804,-,-,804,37.4,63.1,4.4
MEX,41_11_13_29_12_7_6_32_35,484,484,Mexico,0,62913,-,-,62913,42.6,47.8,4.7
MNG,41_11_13_29_12_7_6_32_35,496,496,Mongolia,0,4637,-,-,4637,166.7,137.3,18.5
MDA,41_11_13_29_12_7_6_32_35,498,498,Republic of Moldova,0,4687,-,-,4687,72.1,116.8,8.7
MNE,41_11_13_29_12_7_6_32_35,499,499,Montenegro,0,583,-,-,583,47.8,92.8,5.6
MAR,41_11_13_29_12_7_6_32_35,504,504,Morocco,0,15127,-,-,15127,35.4,40.1,3.9
MOZ,41_11_13_29_12_7_6_32_35,508,508,Mozambique,0,4583,-,-,4583,24.6,13.9,2.6
OMN,41_11_13_29_12_7_6_32_35,512,512,Oman,0,1349,-,-,1349,37.0,25.3,4.2
NAM,41_11_13_29_12_7_6_32_35,516,516,Namibia,0,419,-,-,419,24.5,15.9,2.8
NPL,41_11_13_29_12_7_6_32_35,524,524,Nepal,0,6213,-,-,6213,23.3,20.6,2.6
NLD,41_11_13_29_12_7_6_32_35,528,528,The Netherlands,0,33131,-,-,33131,81.8,192.5,9.5
NCL,41_11_13_29_12_7_6_32_35,540,540,New Caledonia,0,294,-,-,294,72.4,101.1,8.1
VUT,41_11_13_29_12_7_6_32_35,548,548,Vanuatu,0,71,-,-,71,32.8,22.1,4.0
NZL,41_11_13_29_12_7_6_32_35,554,554,New Zealand,0,7596,-,-,7596,76.5,155.1,8.3
NIC,41_11_13_29_12_7_6_32_35,558,558,Nicaragua,0,2614,-,-,2614,41.9,38.6,4.5
NER,41_11_13_29_12_7_6_32_35,562,562,Niger,0,3264,-,-,3264,26.0,12.5,2.8
NGA,41_11_13_29_12_7_6_32_35,566,566,Nigeria,0,20276,-,-,20276,18.7,9.4,2.1
NOR,41_11_13_29_12_7_6_32_35,578,578,Norway,0,10527,-,-,10527,88.6,191.0,9.5
PAK,41_11_13_29_12_7_6_32_35,586,586,Pakistan,0,42665,-,-,42665,25.1,18.6,2.8
PAN,41_11_13_29_12_7_6_32_35,591,591,Panama,0,2406,-,-,2406,44.1,54.1,4.8
PNG,41_11_13_29_12_7_6_32_35,598,598,Papua New Guinea,0,2821,-,-,2821,47.3,30.4,5.0
PRY,41_11_13_29_12_7_6_32_35,600,600,Paraguay,0,3537,-,-,3537,49.6,48.4,5.4
PER,41_11_13_29_12_7_6_32_35,604,604,Peru,0,22034,-,-,22034,51.5,65.4,5.5
PHL,41_11_13_29_12_7_6_32_35,608,608,Philippines,0,54851,-,-,54851,54.3,48.8,6.2
POL,41_11_13_29_12_7_6_32_35,616,616,Poland,0,56657,-,-,56657,68.7,150.1,8.0
PRT,41_11_13_29_12_7_6_32_35,620,620,Portugal,0,23875,-,-,23875,93.9,235.4,10.3
GNB,41_11_13_29_12_7_6_32_35,624,624,Guinea-Bissau,0,287,-,-,287,26.0,13.9,3.0
TLS,41_11_13_29_12_7_6_32_35,626,626,Timor-Leste,0,209,-,-,209,22.7,15.3,2.6
PRI,41_11_13_29_12_7_6_32_35,630,630,Puerto Rico,0,4023,-,-,4023,64.5,142.2,7.2
QAT,41_11_13_29_12_7_6_32_35,634,634,Qatar,0,507,-,-,507,26.5,17.0,3.1
REU,41_11_13_29_12_7_6_32_35,638,638,"France, La Réunion",0,905,-,-,905,58.1,99.7,6.7
ROU,41_11_13_29_12_7_6_32_35,642,642,Romania,0,30534,-,-,30534,76.2,160.4,8.8
RUS,41_11_13_29_12_7_6_32_35,643,643,Russian Federation,0,217774,-,-,217774,80.9,149.4,9.6
RWA,41_11_13_29_12_7_6_32_35,646,646,Rwanda,0,1873,-,-,1873,22.4,13.8,2.6
LCA,41_11_13_29_12_7_6_32_35,662,662,Saint Lucia,0,105,-,-,105,37.5,56.7,4.1
STP,41_11_13_29_12_7_6_32_35,678,678,Sao Tome and Principe,0,43,-,-,43,30.3,18.9,3.4
SAU,41_11_13_29_12_7_6_32_35,682,682,Saudi Arabia,0,10560,-,-,10560,32.9,29.5,3.6
SEN,41_11_13_29_12_7_6_32_35,686,686,Senegal,0,3132,-,-,3132,31.3,17.7,3.5
SRB,41_11_13_29_12_7_6_32_35,688,688,Serbia,0,11364,-,-,11364,64.2,131.3,7.4
SLE,41_11_13_29_12_7_6_32_35,694,694,Sierra Leone,0,553,-,-,553,9.5,6.7,1.0
SGP,41_11_13_29_12_7_6_32_35,702,702,Singapore,0,9375,-,-,9375,81.3,157.7,9.0
SVK,41_11_13_29_12_7_6_32_35,703,703,Slovakia,0,8896,-,-,8896,77.1,162.9,9.1
VNM,41_11_13_29_12_7_6_32_35,704,704,Viet Nam,0,71819,-,-,71819,59.5,72.6,6.8
SVN,41_11_13_29_12_7_6_32_35,705,705,Slovenia,0,3860,-,-,3860,77.1,185.8,8.7
SOM,41_11_13_29_12_7_6_32_35,706,706,Somalia,0,2663,-,-,2663,32.1,15.8,3.6
ZAF,41_11_13_29_12_7_6_32_35,710,710,South Africa,0,22247,-,-,22247,41.4,36.6,4.6
ZWE,41_11_13_29_12_7_6_32_35,716,716,Zimbabwe,0,3875,-,-,3875,50.3,25.3,5.8
ESP,41_11_13_29_12_7_6_32_35,724,724,Spain,0,82115,-,-,82115,75.7,175.8,8.7
SSD,41_11_13_29_12_7_6_32_35,728,728,South Sudan,0,1811,-,-,1811,27.3,15.6,3.0
SDN,41_11_13_29_12_7_6_32_35,729,729,Sudan,0,6559,-,-,6559,22.8,14.3,2.5
SUR,41_11_13_29_12_7_6_32_35,740,740,Suriname,0,276,-,-,276,41.1,46.2,4.5
SWZ,41_11_13_29_12_7_6_32_35,748,748,Eswatini,0,111,-,-,111,15.2,9.4,1.7
SWE,41_11_13_29_12_7_6_32_35,752,752,Sweden,0,16445,-,-,16445,71.6,160.9,8.0
CHE,41_11_13_29_12_7_6_32_35,756,756,Switzerland,0,13003,-,-,13003,65.0,148.2,7.3
SYR,41_11_13_29_12_7_6_32_35,760,760,Syrian Arab Republic,0,5242,-,-,5242,33.9,27.1,3.5
TJK,41_11_13_29_12_7_6_32_35,762,762,Tajikistan,0,2258,-,-,2258,36.1,22.7,3.9
THA,41_11_13_29_12_7_6_32_35,764,764,Thailand,0,67530,-,-,67530,54.6,96.4,6.2
TGO,41_11_13_29_12_7_6_32_35,768,768,Togo,0,1233,-,-,1233,26.0,14.2,2.8
TTO,41_11_13_29_12_7_6_32_35,780,780,Trinidad and Tobago,0,981,-,-,981,44.3,69.7,4.8
ARE,41_11_13_29_12_7_6_32_35,784,784,United Arab Emirates,0,1575,-,-,1575,31.3,15.6,3.6
TUN,41_11_13_29_12_7_6_32_35,788,788,Tunisia,0,4713,-,-,4713,30.6,39.1,3.5
TUR,41_11_13_29_12_7_6_32_35,792,792,Türkiye,0,73822,-,-,73822,69.1,86.3,7.6
TKM,41_11_13_29_12_7_6_32_35,795,795,Turkmenistan,0,2173,-,-,2173,41.2,35.0,4.8
UGA,41_11_13_29_12_7_6_32_35,800,800,Uganda,0,7770,-,-,7770,38.6,16.0,4.4
UKR,41_11_13_29_12_7_6_32_35,804,804,Ukraine,0,50043,-,-,50043,61.8,115.9,7.5
MKD,41_11_13_29_12_7_6_32_35,807,807,North Macedonia,0,1988,-,-,1988,51.8,95.5,6.3
EGY,41_11_13_29_12_7_6_32_35,818,818,Egypt,0,48625,-,-,48625,54.8,45.8,6.2
GBR,41_11_13_29_12_7_6_32_35,826,826,United Kingdom,0,110959,-,-,110959,71.8,162.0,7.9
TZA,41_11_13_29_12_7_6_32_35,834,834,"Tanzania, United Republic of",0,9922,-,-,9922,31.5,15.7,3.6
USA,41_11_13_29_12_7_6_32_35,840,840,United States of America,0,469011,-,-,469011,79.5,140.1,8.8
BFA,41_11_13_29_12_7_6_32_35,854,854,Burkina Faso,0,4437,-,-,4437,38.8,20.1,4.5
URY,41_11_13_29_12_7_6_32_35,858,858,Uruguay,0,5400,-,-,5400,85.6,154.5,9.5
UZB,41_11_13_29_12_7_6_32_35,860,860,Uzbekistan,0,11324,-,-,11324,37.1,32.9,4.5
VEN,41_11_13_29_12_7_6_32_35,862,862,Venezuela,0,16242,-,-,16242,47.6,55.5,5.4
WSM,41_11_13_29_12_7_6_32_35,882,882,Samoa,0,119,-,-,119,71.5,58.8,8.8
YEM,41_11_13_29_12_7_6_32_35,887,887,Yemen,0,5153,-,-,5153,29.9,16.5,3.3
ZMB,41_11_13_29_12_7_6_32_35,894,894,Zambia,0,2065,-,-,2065,23.7,10.6,2.7
,,,,Total,,6347945,,,6347945,62.2,80.5,6.9
