country_name,country_code,obesity_value,obesity_high,obesity_low,activity_value,activity_high,activity_low,gdp_per_capita_2022,asr_world,new_cases,crude_rate,cancer_index,log_gdp,middle_east_flag,continent,region,z_cancer_index,z_obesity,z_physical_activity,z_log_gdp
Germany,DEU,20.4,23.6,17.31,88.02,90.8,84.85,50506.5179638543,25.7,62544,74.6,25.7,10.829857675525991,False,Europe,Europe,0.8727211168200931,-0.1318183739818435,1.160570934289776,1.4173442969524355
Ghana,GHA,12.93,14.88,11.12,78.84,88.12,67.17,2229.89122647803,4.7,986,3.0,4.7,7.709708085900398,False,Africa,Africa,-1.0531005852422737,-0.8196851330388834,0.4572936435453609,-0.7636379218320763
Greece,GRC,27.98,31.35,24.73,64.8,72.81,56.32,20886.5243087629,26.8,7859,76.2,26.8,9.946859460083736,False,Europe,Europe,0.9735974916900267,0.5661776144589014,-0.6183069187696283,0.8001292078101541
Guatemala,GTM,26.81,30.34,23.54,63.17,76.14,49.32,5358.70156997677,6.2,894,4.8,6.2,8.586476980311613,False,America,Americas,-0.915541892237819,0.45843944737767806,-0.7431807732264251,-0.15077712341001304
Guinea,GIN,9.53,12.19,7.3,83.3,94.96,65.61,1416.59612011764,2.8,201,1.5,2.8,7.256012174446394,False,Africa,Africa,-1.2273415963812497,-1.132770404898848,0.7989730244516887,-1.080771023048275
Guyana,GUY,28.46,32.76,24.47,64.92,76.76,52.54,17913.4928066879,8.8,79,10.0,8.8,9.793309495956418,False,America,Americas,-0.6771068243634306,0.6103778881332493,-0.6091137515703545,0.6927978982568622
Haiti,HTI,10.69,13.33,8.37,71.7,89.22,50.51,1760.62635668777,11.3,1103,9.4,11.3,7.4734249092020235,False,America,Americas,-0.4478423360226726,-1.0259530768525071,-0.0896998048114069,-0.9287996848098928
Honduras,HND,29.49,36.48,23.35,63.22,83.87,40.85,3003.28996826399,7.1,570,5.6,7.1,8.007463622850228,False,America,Americas,-0.833006676435146,0.7052243087261207,-0.7393502868933947,-0.5555070252265263
Hungary,HUN,31.7,34.68,28.74,70.59,77.8,62.73,18428.028825614,44.2,9607,100.0,44.2,9.821628090283692,False,Europe,Europe,2.569278330541702,0.9087297354350978,-0.17473660140468586,0.7125925744140935
Iceland,ISL,21.23,26.23,16.66,74.08,90.16,53.34,76350.4550416502,31.0,215,62.3,31.0,11.243089270572046,False,Europe,Europe,1.3587618321025001,-0.055388734086616674,0.09263134464084867,1.706192871402853
India,IND,7.27,8.09,6.51,50.58,61.6,39.05,2347.44829434623,4.9,70038,5.0,4.9,7.761084185002244,False,Asia,Asia,-1.034759426175013,-1.3408800267822363,-1.707697231883527,-0.7277260671619664
Indonesia,IDN,11.23,13.1,9.51,81.0,87.96000000000001,72.88,4730.83484836107,12.1,35676,12.8,12.1,8.461856966622147,False,Asia,Asia,-0.37447769975363016,-0.9762277689688657,0.622770653132282,-0.23788641934412932
"Iran, Islamic Republic of",IRN,24.27,25.93,22.7,53.72,62.21,45.59,4721.20437099984,13.9,12899,15.0,13.9,8.459819209378395,True,Asia,Middle East,-0.20940726814828436,0.22454633251758693,-1.4671426901692062,-0.23931081012641717
Iraq,IRQ,40.49,45.24,36.04,47.98,61.51,34.52,6520.73154560584,8.9,2320,5.5,8.9,8.782741848873016,True,Asia,Middle East,-0.6679362448298003,1.7181472470965948,-1.9068825212011176,-0.013588127751678352
Ireland,IRL,28.35,32.36,24.46,78.08,83.36,72.42,105190.685952731,32.3,3121,62.2,32.3,11.563530038795156,False,Europe,Europe,1.4779793660396938,0.6002486587495447,0.3990702512832956,1.9301807276235905
Israel,ISR,22.49,25.72,19.46,73.44,89.56,52.37,54949.621556429,24.8,3240,36.3,24.8,10.914172072754894,True,Asia,Middle East,0.7901859010174204,0.06063698430854651,0.043601119578057124,1.4762799972647522
Italy,ITA,17.29,19.65,15.08,59.91,68.25,51.2,35653.9042103495,30.6,54784,90.9,30.6,10.481613934862926,False,Europe,Europe,1.3220795139679788,-0.41819931383022285,-0.9929284821400196,1.1739221838862832
Côte d'Ivoire,CIV,11.64,14.55,9.24,80.32,93.07,62.38,2333.37128301259,7.2,1057,3.8,7.2,7.755069403385334,False,Africa,Africa,-0.8238360969015158,-0.9384733685386933,0.5706760390030655,-0.7319303949929047
Jamaica,JAM,33.81,37.75,29.98,61.39,79.58,42.65,6626.47502388538,20.2,793,26.6,20.2,8.798828271187451,False,America,Americas,0.3683392424704256,1.1030267717952527,-0.879546086682314,-0.002343730640624416
Japan,JPN,5.54,6.53,4.64,55.25,66.27000000000001,44.16,34065.6438962526,36.6,145756,116.1,36.6,10.436044645018049,False,Asia,Asia,1.872314285985798,-1.5001851798168653,-1.34992980837847,1.142069284523775
Kazakhstan,KAZ,18.38,21.24,15.84,71.77,87.48,51.27,11255.3396437881,15.5,3514,18.3,15.5,9.32859793003239,False,Asia,Asia,-0.06267799561019931,-0.31782785902805777,-0.0843371239451646,0.3679648628428669
Jordan,JOR,38.51,41.44,35.68,71.77,80.75,61.83,4332.25159897931,16.5,1274,12.4,16.5,8.373842685607784,True,Asia,Middle East,0.02902779972610388,1.5358211181899093,-0.0843371239451646,-0.29940833564252817
Kenya,KEN,12.41,14.07,10.86,91.08,95.64,84.72,2109.56288513137,11.1,3091,5.5,11.1,7.654236041563953,False,Africa,Africa,-0.46618349508993334,-0.8675687628527603,1.394996697871248,-0.8024128391436305
"Korea, Republic of",KOR,7.33,8.15,6.54,41.94,47.62,36.32,34822.4048404971,26.5,29560,57.6,26.5,10.458016275856812,False,Asia,Asia,0.9460857530891357,-1.3353549925729427,-2.3696052702312125,1.1574274379714082
Kuwait,KWT,41.42,46.03,36.78,36.68,54.71,20.260000000000005,39981.7691035833,11.2,436,10.0,11.2,10.596178856789841,True,Asia,Middle East,-0.4570129155563031,1.803785277340644,-2.77257243246603,1.2540029782333966
