country_name,country_code,obesity_value,obesity_high,obesity_low,activity_value,activity_high,activity_low,gdp_per_capita_2022,asr_world,new_cases,crude_rate
Ireland,IRL,28.35,32.36,24.46,78.08,83.36,72.42,105190.685952731,32.3,3121,62.2
Israel,ISR,22.49,25.72,19.46,73.44,89.56,52.37,54949.621556429,24.8,3240,36.3
Italy,ITA,17.29,19.65,15.08,59.91,68.25,51.2,35653.9042103495,30.6,54784,90.9
Côte d'Ivoire,CIV,11.64,14.55,9.24,80.32,93.07,62.38,2333.37128301259,7.2,1057,3.8
Jamaica,JAM,33.81,37.75,29.98,61.39,79.58,42.65,6626.47502388538,20.2,793,26.6
Japan,JPN,5.54,6.53,4.64,55.25,66.27000000000001,44.16,34065.6438962526,36.6,145756,116.1
Kazakhstan,KAZ,18.38,21.24,15.84,71.77,87.48,51.27,11255.3396437881,15.5,3514,18.3
Jordan,JOR,38.51,41.44,35.68,71.77,80.75,61.83,4332.25159897931,16.5,1274,12.4
Kenya,KEN,12.41,14.07,10.86,91.08,95.64,84.72,2109.56288513137,11.1,3091,5.5
"Korea, Democratic People's Republic of",PRK,10.8,17.52,5.64,73.01,88.78999999999999,52.23,,19.0,7228,27.8
"Korea, Republic of",KOR,7.33,8.15,6.54,41.94,47.62,36.32,34822.4048404971,26.5,29560,57.6
Kuwait,KWT,41.42,46.03,36.78,36.68,54.71,20.260000000000005,39981.7691035833,11.2,436,10.0
Kyrgyzstan,KGZ,26.6,30.87,22.44,80.13,89.73,68.26,1739.72018344174,7.9,437,6.5
Lao People's Democratic Republic,LAO,8.01,10.75,5.72,84.16,92.3,73.48,2046.40440255621,14.1,781,10.4
Lebanon,LBN,29.78,33.9,25.97,41.38,54.03,29.22,3654.35845534878,12.9,1005,15.0
Lesotho,LSO,21.0,24.64,17.6,92.02,96.85,84.19,1030.12582947757,5.8,97,4.5
Latvia,LVA,24.27,29.69,19.27,85.51,90.27,79.93,20221.103686109,23.5,1127,61.0
Liberia,LBR,17.01,18.96,15.19,85.42,90.39,79.27,744.617175237387,4.5,142,2.7
Libya,LBY,36.71,42.69,30.8,54.44,63.46,45.53,5986.63694851258,15.9,974,13.8
Lithuania,LTU,25.36,31.43,19.67,79.77,85.33,73.83,25085.784063499,21.8,1506,56.6
Luxembourg,LUX,18.43,22.23,14.97,86.08,90.33,80.96000000000001,123719.658915996,23.6,316,49.2
Madagascar,MDG,4.26,6.28,2.87,86.41,95.81,70.23,503.51453347296,5.7,942,3.2
Malawi,MWI,7.74,9.41,6.22,97.3,98.88,94.75,604.269740360317,4.9,512,2.5
Malaysia,MYS,22.1,24.66,19.6,60.1,69.32,50.48,11754.5678336248,19.7,7150,21.6
Maldives,MDV,17.3,19.54,15.18,75.38,83.05,66.37,11786.0191492983,11.8,50,9.2
Mali,MLI,11.37,14.53,8.87,70.18,86.58,49.23,976.914116406452,8.9,908,4.2
Malta,MLT,32.29,37.5,27.3,59.29,69.48,48.73,35638.8869457406,27.0,301,67.8
"France, Martinique",MTQ,,,,,,,,21.7,212,56.7
Mauritania,MRT,22.69,26.78,19.22,61.48,81.95,38.96,1960.35240077424,6.2,183,3.7
Mauritius,MUS,19.23,22.74,15.78,70.12,78.43,60.96,10246.5017455553,16.9,370,29.0
Mexico,MEX,36.03,37.73,34.4,72.01,77.91,65.17,11405.7940473759,10.9,16082,12.2
Mongolia,MNG,24.11,27.02,21.29,72.53999999999999,80.8,62.97,4993.51487463495,7.6,216,6.4
Republic of Moldova,MDA,22.97,25.54,20.57,89.23,93.09,84.31,5744.29618434435,27.5,1868,46.6
Montenegro,MNE,18.0,23.5,12.89,77.25,91.9,56.53,10024.5435616209,21.3,260,41.4
Morocco,MAR,21.78,25.09,18.73,75.49,84.74,64.83,3463.1376953125,12.3,5306,14.1
Mozambique,MOZ,10.26,12.97,7.93,90.32,97.27,77.95,578.251663751351,3.9,651,2.0
Oman,OMN,31.1,35.16,27.36,59.12,70.0,47.14,23223.5829405935,11.1,431,8.1
Namibia,NAM,16.97,21.31,13.09,74.62,90.05,54.92,4349.79908493314,8.7,146,5.5
Nepal,NPL,6.99,8.24,5.86,91.77,95.14,87.32,1385.91066274851,4.4,1198,4.0
The Netherlands,NLD,14.54,17.95,11.45,90.59,93.1,87.63,59123.318556487,42.8,17670,102.7
New Caledonia,NCL,,,,,,,33516.363085906,22.0,91,31.3
Vanuatu,VUT,21.28,26.55,16.46,92.48,97.41,84.03999999999999,3370.21191956953,6.8,13,4.0
New Zealand,NZL,33.62,35.61,31.68,81.32,85.77,76.39,49099.7090423358,39.0,4070,83.1
Nicaragua,NIC,33.63,40.31,27.27,61.25,81.96000000000001,37.89,2322.89053964583,9.8,610,9.0
Niger,NER,5.97,7.22,4.9,83.8,89.6,76.69,609.745147574878,5.9,764,2.9
Nigeria,NGA,12.36,14.47,10.43,81.95,94.02,63.13,2899.16047470324,7.5,8114,3.7
Norway,NOR,19.15,22.74,15.87,64.88,79.98,47.46,109269.520580298,45.3,5617,101.9
Pakistan,PAK,23.01,25.69,20.45,54.35,68.44,39.97,1538.3228133171,5.4,9447,4.1
Panama,PAN,36.07,39.63,32.74,42.36,53.41,32.010000000000005,17378.6070017557,15.1,820,18.4
Papua New Guinea,PNG,20.52,26.78,15.15,87.53,96.16,73.84,3102.28968594061,11.7,646,7.0
Paraguay,PRY,32.96,38.99,27.1,64.03999999999999,82.56,42.72,6205.62595379319,21.0,1494,20.5
Peru,PER,27.29,28.71,25.9,65.53,77.03,53.75,7350.63034300417,11.4,4943,14.7
Philippines,PHL,8.74,10.77,6.9,54.54,66.47,42.99,3548.06930572116,20.8,20736,18.4
Poland,POL,27.5,30.67,24.35,63.03,71.12,54.6,18891.2121169279,30.9,26888,71.3
Portugal,PRT,21.79,25.57,18.18,48.35,57.42,39.5,24620.5197587181,37.8,10575,104.3
Guinea-Bissau,GNB,11.47,16.08,7.8,82.36,94.43,63.93,883.199131457831,3.9,44,2.1
Timor-Leste,TLS,2.35,3.24,1.66,73.07,86.23,56.84,2343.24954740187,8.8,80,5.8
Puerto Rico,PRI,41.13,48.05,34.46,58.45,79.93,35.72,35353.6821570014,27.8,1843,65.1
Qatar,QAT,43.14,49.83,36.56,46.52,65.21000000000001,28.099999999999994,88701.4689763536,9.3,182,6.1
"France, La Réunion",REU,,,,,,,,20.7,328,36.1
Romania,ROU,34.04,37.97,30.18,63.24,71.37,54.41,15503.551804598,32.2,13541,71.2
Russian Federation,RUS,24.19,27.56,21.06,81.89,92.66,65.75,15619.6142578125,29.4,83693,57.4
Rwanda,RWA,4.92,5.83,4.13,91.03,94.41,86.66,975.469323735369,4.2,353,2.6
Saint Lucia,LCA,33.47,36.82,30.26,79.05,86.27,70.86,13103.8243147472,12.3,34,18.4
Sao Tome and Principe,STP,16.46,19.07,13.98,81.85,88.71000000000001,73.66,2389.73729784737,6.3,8,3.5
Saudi Arabia,SAU,40.6,45.76,35.7,48.46,59.1,38.17,38510.2276211037,11.7,3750,10.5
Senegal,SEN,10.21,12.59,8.01,83.36,91.17,73.18,1574.0281059306,6.2,609,3.5
Serbia,SRB,22.51,26.29,18.75,55.15,76.4,34.3,10024.8191112596,30.2,5489,63.4
Sierra Leone,SLE,7.13,8.73,5.75,87.03999999999999,95.07,74.96000000000001,860.371067916096,0.24,12,0.14
Singapore,SGP,13.88,16.88,11.32,76.83,82.84,70.11,90299.0694637269,34.0,4007,67.4
Slovakia,SVK,26.82,31.59,22.26,76.7,83.46000000000001,69.52,21317.7943982363,35.7,4219,77.3
Viet Nam,VNM,2.02,2.6,1.53,69.68,77.0,61.9,4147.69777213621,13.9,16835,17.0
Slovenia,SVN,19.44,21.6,17.36,81.03,86.75,74.6,28360.3041467268,30.5,1580,76.0
Somalia,SOM,14.61,19.61,10.27,81.9,94.04,63.69,573.141165798229,9.2,755,4.5
South Africa,ZAF,30.82,33.62,28.17,55.2,68.19,41.34,6534.24867783397,13.5,7338,12.1
Zimbabwe,ZWE,14.21,17.22,11.46,82.3,94.01,63.9,2536.40050223076,9.7,773,5.0
Spain,ESP,15.67,18.31,13.12,78.15,83.71000000000001,72.26,30319.4987196616,33.8,39421,84.4
South Sudan,SSD,8.6,12.49,5.53,83.74,95.21,65.82,,5.7,388,3.3
Sudan,SDN,17.01,20.04,14.13,80.89,88.92,70.73,1046.24084472656,5.5,1704,3.7
Suriname,SUR,29.02,35.46,23.18,51.14,66.22,35.19,6084.43876736445,18.7,125,20.9
Eswatini,SWZ,30.09,34.56,25.88,80.78,89.91,69.27,3894.1620089869,4.9,37,3.1
Sweden,SWE,15.27,18.62,12.33,91.3,94.38,87.33,54836.8907235124,31.2,7699,75.3
Switzerland,CHE,12.11,14.19,10.21,80.97,89.44,70.11,94394.5106803525,26.3,5423,61.8
Syrian Arab Republic,SYR,33.94,40.76,27.32,62.16,82.51,39.37,1051.67149587463,10.9,1626,8.4
Tajikistan,TJK,23.79,27.39,20.53,64.25999999999999,76.0,51.59,1052.17949484894,5.6,365,3.7
Thailand,THA,15.38,17.51,13.43,71.13,76.45,65.34,6909.35281815827,15.9,20173,28.8
Togo,TGO,11.56,13.24,9.96,85.22,90.2,79.48,951.232378690387,7.5,354,4.1
Trinidad and Tobago,TTO,28.05,32.82,23.38,55.49,72.19,37.96,20750.5202434652,18.5,418,29.7
United Arab Emirates,ARE,32.08,36.27,28.04,33.86,45.4,23.189999999999998,50759.7589231191,11.5,550,5.5
Tunisia,TUN,26.83,32.56,21.55,66.64,84.13,45.36,3707.29283414381,11.9,1839,15.3
Türkiye,TUR,33.3,36.2,30.52,55.61,67.65,43.34,10897.8397861365,19.8,21718,25.4
Turkmenistan,TKM,21.4,24.32,18.69,87.91,93.24,80.91,5837.84224538947,5.9,323,5.2
Uganda,UGA,7.9,9.11,6.83,94.45,96.63,91.65,963.067314117178,7.3,1394,2.9
Ukraine,UKR,23.63,26.67,20.67,87.24,92.6,80.47,4199.6708984375,24.2,20887,48.4
North Macedonia,MKD,27.54,35.98,19.95,73.9,87.14,58.0,7606.2375253797,23.5,900,43.2
Egypt,EGY,44.27,47.8,40.92,66.2,76.39,54.73,4233.30783744856,6.4,5940,5.6
United Kingdom,GBR,26.82,28.8,24.88,81.02,85.57,75.53999999999999,47057.043229179,30.9,49429,72.2
"Tanzania, United Republic of",TZA,12.58,15.2,10.23,95.7,97.52,93.16,1207.52062988281,6.8,2185,3.5
United States of America,USA,41.99,44.75,39.29,66.25999999999999,73.43,58.21,76657.2488844403,27.0,160186,47.8
Burkina Faso,BFA,6.75,7.86,5.69,83.06,88.65,76.73,827.330843486661,3.4,460,2.1
Uruguay,URY,33.34,38.56,28.26,66.16,81.27,48.66,20818.6146091144,31.0,2092,59.8
Uzbekistan,UZB,30.03,32.95,27.22,68.25,76.75,59.25,2578.66689394219,9.0,2779,8.1
Venezuela,VEN,22.72,25.69,19.78,54.27,67.38,40.55,3155.04207099687,18.7,6384,21.8
Samoa,WSM,62.43,67.69,56.94,86.53,93.9,76.45,4132.44717734444,25.3,42,20.8
Yemen,YEM,13.65,17.49,10.45,70.81,88.3,49.08,,9.1,1572,5.1
Zambia,ZMB,11.08,13.31,9.0,85.91,92.15,78.07,1447.12310138035,5.1,455,2.3
Total,,,,,,,,,18.4,1925828,24.4
